feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
STRUCTURE.SUPPORT.EXPOSED_TO_FIRE,103.20674216000988,103.19371732797302,0.013024832036862222,0.25,0.05209932814744889,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
BEAM.HAS_NOTCHES,103.20674216000988,103.19371762051102,0.013024539498857735,0.25,0.05209815799543094,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
ESTABLISHMENT.LODGING_CAPACITY,103.20674216000988,103.19372948466776,0.013012675342125135,0.25,0.05205070136850054,2,True,"[(None, 20.0), (20.0, None)]",0.0024630541871921183,0.0012315270935960591,>20.0
ELEVATORS.CONNECTS_DIFFERENT_FIRE_SECTORS,103.20674216000988,103.19376317294372,0.012978987066162517,0.25,0.05191594826465007,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
DUCT.LOCATION,103.20674216000988,103.19402269488961,0.012719465120270002,0.25,0.050877860481080006,2,False,"['FACADE', 'INTERIOR']",0.0,0.0,FACADE
SLAB.HAS_LOWER_LINING,103.20674216000988,103.1940675668393,0.012674593170586945,0.25,0.05069837268234778,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
ESTABLISHMENT.HAS_DETECTION_ALARM_SYSTEM,103.20674216000988,103.19422828449368,0.01251387551620553,0.25,0.05005550206482212,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
AREA.MUST_BE_DIFFERENT_FIRE_SECTOR_AS_PER_TABLE_1_1,103.20674216000988,103.19436912239894,0.012373037610942106,0.25,0.04949215044376842,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
ROOF.IS_NOT_FOR_ACTIVITY,103.20674216000988,103.19443750914036,0.012304650869523925,0.25,0.0492186034780957,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
CLADDING.HAS_MULTIPLE_BOARD_LAYERS,103.20674216000988,103.1945582222155,0.012183937794375765,0.25,0.04873575117750306,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
ROOF.FAILURE.COMPROMISES_FIRE_COMPARTMENTATION,103.20674216000988,103.19458751089343,0.012154649116453697,0.25,0.04861859646581479,2,True,"[(None, 0.0), (0.0, None)]",0.0024630541871921183,0.0024630541871921183,≤0.0
REGULATORY.PROVISION.CITED,103.20674216000988,103.19460262646854,0.012139533541343894,0.25,0.04855813416537558,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
STRUCTURAL_ELEMENT.TYPE,103.20674216000988,103.19464327877085,0.012098881239026582,0.25,0.04839552495610633,2,False,"['BEAM', 'SUPPORT']",0.0,0.0,BEAM
FLOOR.REFUGE.AREA,103.20674216000988,103.19465767143882,0.01208448857106248,0.25,0.04833795428424992,2,False,"['EXISTS', 'NOT_EXISTS']",0.0,0.0,EXISTS
ESTABLISHMENT.IS_FIRE_SECTOR,103.20674216000988,103.19469002694521,0.012052133064671011,0.25,0.048208532258684045,2,True,"[(None, 0.0), (0.0, None)]",0.0024630541871921183,0.0024630541871921183,≤0.0
